vendorid,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,ratecodeid,store_and_fwd_flag,pulocationid,dolocationid,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,airport_fee
2,2023-01-01T00:22:06.000,2023-01-01T00:40:00.000,2.0,3.63,1.0,N,142,107,1,20.5,1.0,0.5,5.1,0.0,1.0,30.6,2.5,0.0
2,2023-01-01T00:03:28.000,2023-01-01T00:19:42.000,1.0,2.51,1.0,N,249,233,1,16.3,1.0,0.5,6.39,0.0,1.0,27.69,2.5,0.0
2,2023-01-01T00:45:41.000,2023-01-01T01:09:01.000,1.0,2.71,1.0,N,107,50,1,21.9,1.0,0.5,6.72,0.0,1.0,33.62,2.5,0.0
2,2023-01-01T00:24:48.000,2023-01-01T00:56:28.000,2.0,4.17,1.0,N,246,4,1,29.6,1.0,0.5,6.0,0.0,1.0,40.6,2.5,0.0
2,2023-01-01T00:27:19.000,2023-01-01T00:33:59.000,5.0,1.11,1.0,N,164,162,1,7.9,1.0,0.5,2.58,0.0,1.0,15.48,2.5,0.0
2,2023-01-01T00:03:54.000,2023-01-01T00:17:49.000,1.0,2.28,1.0,N,43,186,1,14.9,1.0,0.5,3.98,0.0,1.0,23.88,2.5,0.0
2,2023-01-01T00:41:48.000,2023-01-01T00:50:29.000,1.0,1.39,1.0,N,170,79,1,10.0,1.0,0.5,2.0,0.0,1.0,17.0,2.5,0.0
2,2023-01-01T00:09:36.000,2023-01-01T00:16:32.000,1.0,0.64,1.0,N,79,148,1,7.9,1.0,0.5,1.29,0.0,1.0,14.19,2.5,0.0
1,2023-01-01T00:58:57.000,2023-01-01T01:36:11.000,1.0,4.3,1.0,N,68,237,2,33.8,3.5,0.5,0.0,0.0,1.0,38.8,2.5,0.0
2,2023-01-01T00:17:26.000,2023-01-01T00:33:00.000,1.0,3.07,1.0,N,262,166,2,17.7,1.0,0.5,0.0,0.0,1.0,22.7,2.5,0.0
2,2023-01-01T00:34:11.000,2023-01-01T00:50:23.000,1.0,5.65,1.0,N,87,112,1,25.4,1.0,0.5,6.08,0.0,1.0,36.48,2.5,0.0
2,2023-01-01T00:23:52.000,2023-01-01T00:41:20.000,1.0,3.24,1.0,N,229,246,1,19.1,1.0,0.5,3.0,0.0,1.0,27.1,2.5,0.0
2,2023-01-01T00:34:29.000,2023-01-01T01:09:35.000,2.0,3.7,1.0,N,113,50,1,30.3,1.0,0.5,8.82,0.0,1.0,44.12,2.5,0.0
2,2023-01-01T00:50:47.000,2023-01-01T01:05:34.000,1.0,3.31,1.0,N,141,7,1,18.4,1.0,0.5,4.68,0.0,1.0,28.08,2.5,0.0
1,2023-01-01T00:39:33.000,2023-01-01T00:45:14.000,2.0,0.8,1.0,N,79,224,1,7.2,3.5,0.5,2.0,0.0,1.0,14.2,2.5,0.0
2,2023-01-01T00:46:17.000,2023-01-01T01:01:30.000,2.0,3.15,1.0,N,79,246,1,17.7,1.0,0.5,4.54,0.0,1.0,27.24,2.5,0.0
2,2023-01-01T00:20:33.000,2023-01-01T00:35:02.000,2.0,2.29,1.0,N,238,50,1,15.6,1.0,0.5,2.0,0.0,1.0,22.6,2.5,0.0
1,2023-01-01T00:44:15.000,2023-01-01T00:47:00.000,4.0,0.5,1.0,N,264,264,1,5.1,1.0,0.5,1.95,2.45,1.0,12.0,0.0,0.0
2,2023-01-01T00:20:18.000,2023-01-01T00:27:56.000,2.0,1.19,1.0,N,142,50,4,9.3,1.0,0.5,0.0,0.0,1.0,14.3,2.5,0.0
2,2023-01-01T00:27:33.000,2023-01-01T00:36:38.000,2.0,0.85,1.0,N,90,68,1,10.0,1.0,0.5,3.75,0.0,1.0,18.75,2.5,0.0
2,2023-01-01T00:37:27.000,2023-01-01T00:51:14.000,1.0,1.98,1.0,N,234,4,1,14.2,1.0,0.5,4.8,0.0,1.0,24.0,2.5,0.0
1,2023-01-01T00:43:47.000,2023-01-01T00:48:11.000,2.0,0.9,1.0,N,263,262,1,6.5,3.5,0.5,4.0,0.0,1.0,15.5,2.5,0.0
2,2023-01-01T00:46:39.000,2023-01-01T01:06:46.000,1.0,7.19,1.0,N,43,87,2,31.7,1.0,0.5,0.0,0.0,1.0,36.7,2.5,0.0
1,2023-01-01T00:54:05.000,2023-01-01T00:59:36.000,1.0,1.2,1.0,N,263,229,1,7.9,3.5,0.5,2.55,0.0,1.0,15.45,2.5,0.0
2,2023-01-01T00:32:47.000,2023-01-01T00:50:03.000,2.0,2.91,1.0,N,107,231,1,17.7,1.0,0.5,4.54,0.0,1.0,27.24,2.5,0.0
2,2023-01-01T00:05:18.000,2023-01-01T00:40:35.000,2.0,11.61,1.0,N,142,181,2,51.3,1.0,0.5,0.0,0.0,1.0,56.3,2.5,0.0
2,2023-01-01T00:49:24.000,2023-01-01T01:30:59.000,1.0,13.54,1.0,N,132,149,1,61.8,1.0,0.5,12.86,0.0,1.0,78.41,0.0,1.25
2,2023-01-01T00:28:58.000,2023-01-01T00:35:50.000,1.0,1.69,1.0,N,233,141,1,10.0,1.0,0.5,1.0,0.0,1.0,16.0,2.5,0.0
2,2023-01-01T00:43:06.000,2023-01-01T00:59:47.000,1.0,2.87,1.0,N,236,170,1,19.1,1.0,0.5,4.82,0.0,1.0,28.92,2.5,0.0
2,2023-01-01T00:30:58.000,2023-01-01T00:53:12.000,2.0,3.46,1.0,N,142,166,2,22.6,1.0,0.5,0.0,0.0,1.0,27.6,2.5,0.0
2,2023-01-01T00:06:39.000,2023-01-01T00:10:02.000,1.0,0.52,1.0,N,237,237,2,-5.1,-1.0,-0.5,0.0,0.0,-1.0,-10.1,-2.5,0.0
2,2023-01-01T00:03:09.000,2023-01-01T00:08:35.000,2.0,1.41,1.0,N,229,137,1,8.6,1.0,0.5,2.72,0.0,1.0,16.32,2.5,0.0
2,2023-01-01T00:34:38.000,2023-01-01T00:45:39.000,1.0,0.76,1.0,N,141,229,2,5.8,1.0,0.5,0.0,0.0,1.0,10.8,2.5,0.0
2,2023-01-01T00:12:27.000,2023-01-01T00:35:02.000,1.0,3.69,1.0,N,238,246,2,23.3,1.0,0.5,0.0,0.0,1.0,28.3,2.5,0.0
1,2023-01-01T00:51:55.000,2023-01-01T01:19:20.000,1.0,9.5,1.0,N,263,36,1,38.7,3.5,0.5,15.05,6.55,1.0,65.3,2.5,0.0
2,2023-01-01T00:26:07.000,2023-01-01T00:31:12.000,1.0,0.82,1.0,N,151,238,2,7.2,1.0,0.5,0.0,0.0,1.0,12.2,2.5,0.0
1,2023-01-01T00:42:18.000,2023-01-01T00:53:33.000,1.0,2.0,1.0,N,41,238,1,12.8,3.5,0.5,3.55,0.0,1.0,21.35,2.5,0.0
2,2023-01-01T00:21:43.000,2023-01-01T00:27:52.000,1.0,2.0,1.0,N,161,141,2,10.0,1.0,0.5,0.0,0.0,1.0,15.0,2.5,0.0
2,2023-01-01T00:27:02.000,2023-01-01T00:41:37.000,1.0,1.72,1.0,N,4,249,1,14.2,1.0,0.5,3.84,0.0,1.0,23.04,2.5,0.0
2,2023-01-01T00:42:27.000,2023-01-01T00:51:46.000,1.0,1.53,1.0,N,143,238,1,10.7,1.0,0.5,10.0,0.0,1.0,25.7,2.5,0.0
1,2023-01-01T00:16:01.000,2023-01-01T00:26:13.000,1.0,1.4,1.0,N,237,143,2,10.0,3.5,0.5,0.0,0.0,1.0,15.0,2.5,0.0
2,2023-01-01T00:39:12.000,2023-01-01T00:47:31.000,1.0,1.57,1.0,N,43,162,1,10.7,1.0,0.5,4.71,0.0,1.0,20.41,2.5,0.0
2,2023-01-01T00:35:23.000,2023-01-01T00:43:37.000,1.0,1.46,1.0,N,170,237,1,10.0,1.0,0.5,3.75,0.0,1.0,18.75,2.5,0.0
1,2023-01-01T00:13:48.000,2023-01-01T00:24:40.000,2.0,2.7,1.0,N,237,234,1,13.5,3.5,0.5,3.7,0.0,1.0,22.2,2.5,0.0
2,2023-01-01T00:06:32.000,2023-01-01T00:29:45.000,1.0,15.49,1.0,N,132,80,1,58.3,1.0,0.5,12.16,0.0,1.0,74.21,0.0,1.25
1,2023-01-01T00:59:03.000,2023-01-01T01:25:32.000,4.0,5.3,1.0,N,125,141,1,28.9,3.5,0.5,8.45,0.0,1.0,42.35,2.5,0.0
2,2023-01-01T00:26:33.000,2023-01-01T00:51:59.000,1.0,3.73,1.0,N,237,113,1,24.7,1.0,0.5,7.42,0.0,1.0,37.12,2.5,0.0
2,2023-01-01T00:13:21.000,2023-01-01T00:17:03.000,1.0,0.75,1.0,N,107,79,2,5.8,1.0,0.5,0.0,0.0,1.0,10.8,2.5,0.0
1,2023-01-01T00:25:58.000,2023-01-01T00:36:50.000,1.0,2.0,1.0,N,48,90,1,11.4,3.5,0.5,3.25,0.0,1.0,19.65,2.5,0.0
1,2023-01-01T00:31:08.000,2023-01-01T00:47:51.000,0.0,2.3,1.0,N,234,246,2,14.2,3.5,0.5,0.0,0.0,1.0,19.2,2.5,0.0
2,2023-01-01T00:59:25.000,2023-01-01T01:05:04.000,1.0,0.86,1.0,N,237,141,1,7.9,1.0,0.5,1.94,0.0,1.0,14.84,2.5,0.0
2,2023-01-01T00:58:14.000,2023-01-01T01:11:49.000,1.0,5.62,1.0,N,236,79,1,23.3,1.0,0.5,7.08,0.0,1.0,35.38,2.5,0.0
